code,name,net_foreign,net_investment,net_dealer,net_total
"=""00715L""",期街口布蘭特正2 ,11718000.0,0.0,0.0,11718000.0
2884,玉山金          ,49529054.0,0.0,-531825.0,48997229.0
2890,永豐金          ,24649293.0,0.0,-1470517.0,23178776.0
"=""00940""",元大台灣價值高息,5225863.0,0.0,0.0,5225863.0
2888,新光金          ,16768851.0,0.0,0.0,16768851.0
2801,彰銀            ,15992852.0,0.0,0.0,15992852.0
"=""00929""",復華台灣科技優息,10751645.0,0.0,0.0,10751645.0
2330,台積電          ,14504820.0,0.0,358259.0,14863079.0
2609,陽明            ,11490331.0,0.0,22628.0,11512959.0
2883,凱基金          ,12915286.0,0.0,-1955356.0,10959930.0
2834,臺企銀          ,10811786.0,0.0,-382000.0,10429786.0
"=""0056""",元大高股息      ,5600797.0,0.0,100000.0,5700797.0
2892,第一金          ,9082965.0,0.0,-2251.0,9080714.0
3450,聯鈞            ,8398531.0,0.0,0.0,8398531.0
2887,台新金          ,8318191.0,0.0,-52505.0,8265686.0
2891,中信金          ,11797752.0,0.0,-4841285.0,6956467.0
2615,萬海            ,6427926.0,0.0,-299.0,6427627.0
9907,統一實          ,6210801.0,0.0,0.0,6210801.0
6770,力積電          ,6116980.0,0.0,0.0,6116980.0
5880,合庫金          ,6241403.0,0.0,-11162.0,6230241.0
2886,兆豐金          ,5992791.0,0.0,-76226.0,5916565.0
2324,仁寶            ,4707669.0,0.0,-11000.0,4696669.0
6757,台灣虎航        ,4323430.0,0.0,243000.0,4566430.0
"=""00939""",統一台灣高息動能,728000.0,0.0,0.0,728000.0
"=""00642U""",期元大S&P石油   ,788000.0,0.0,0.0,788000.0
1301,台塑            ,4005682.0,0.0,-795.0,4004887.0
6505,台塑化          ,3613668.0,0.0,225709.0,3839377.0
2603,長榮            ,4339237.0,0.0,-29231.0,4310006.0
2409,友達            ,4471547.0,0.0,-89672.0,4381875.0
"=""00930""",永豐ESG低碳高息 ,591000.0,0.0,0.0,591000.0
1101,台泥            ,3696772.0,0.0,-7417.0,3689355.0
2880,華南金          ,4163494.0,0.0,-80838.0,4082656.0
"=""009802""",富邦旗艦50      ,1556000.0,0.0,0.0,1556000.0
2412,中華電          ,3647546.0,0.0,-94952.0,3552594.0
"=""00965""",元大航太防衛科技,-640000.0,0.0,0.0,-640000.0
2317,鴻海            ,4052904.0,0.0,183283.0,4236187.0
2382,廣達            ,2757096.0,0.0,186967.0,2944063.0
2356,英業達          ,2920420.0,0.0,0.0,2920420.0
2885,元大金          ,3037131.0,0.0,92567.0,3129698.0
"=""00946""",群益科技高息成長,375000.0,0.0,0.0,375000.0
3090,日電貿          ,1999767.0,0.0,552371.0,2552138.0
"=""009804""",聯邦台精彩50    ,-684000.0,0.0,0.0,-684000.0
"=""006208""",富邦台50        ,1218245.0,0.0,0.0,1218245.0
5876,上海商銀        ,2254796.0,0.0,50205.0,2305001.0
5871,中租-KY         ,2111587.0,0.0,-48133.0,2063454.0
2515,中工            ,2029035.0,0.0,0.0,2029035.0
"=""00934""",中信成長高股息  ,515906.0,0.0,0.0,515906.0
"=""00669R""",國泰美國道瓊反1 ,0.0,0.0,0.0,0.0
2421,建準            ,1989618.0,0.0,0.0,1989618.0
9933,中鼎            ,1931076.0,0.0,0.0,1931076.0
1312,國喬            ,1457822.0,0.0,0.0,1457822.0
"=""00637L""",元大滬深300正2  ,-6382000.0,0.0,0.0,-6382000.0
6213,聯茂            ,1909886.0,0.0,0.0,1909886.0
2308,台達電          ,1432490.0,0.0,506539.0,1939029.0
2368,金像電          ,781970.0,0.0,1076000.0,1857970.0
2303,聯電            ,2137901.0,0.0,-47064.0,2090837.0
"=""00918""",大華優利高填息30,32000.0,0.0,0.0,32000.0
2010,春源            ,1818325.0,0.0,0.0,1818325.0
2812,台中銀          ,1964567.0,0.0,0.0,1964567.0
2439,美律            ,53551.0,0.0,1684000.0,1737551.0
1216,統一            ,1171330.0,0.0,551978.0,1723308.0
2474,可成            ,1742416.0,0.0,-22000.0,1720416.0
2301,光寶科          ,2284983.0,0.0,-640456.0,1644527.0
2455,全新            ,1144509.0,0.0,270000.0,1414509.0
"=""00936""",台新永續高息中小,17000.0,0.0,0.0,17000.0
1210,大成            ,1403200.0,0.0,96000.0,1499200.0
2838,聯邦銀          ,1566008.0,0.0,0.0,1566008.0
9904,寶成            ,1604539.0,0.0,-14000.0,1590539.0
2897,王道銀行        ,1564004.0,0.0,0.0,1564004.0
1215,卜蜂            ,1084451.0,0.0,410000.0,1494451.0
2367,燿華            ,1488360.0,0.0,0.0,1488360.0
"=""00633L""",富邦上証正2     ,-295000.0,0.0,0.0,-295000.0
"=""00927""",群益半導體收益  ,808000.0,0.0,0.0,808000.0
2383,台光電          ,-42729.0,0.0,1431000.0,1388271.0
"=""00881""",國泰台灣科技龍頭,566000.0,0.0,0.0,566000.0
"=""00885""",富邦越南        ,1409000.0,0.0,0.0,1409000.0
2328,廣宇            ,1187150.0,0.0,0.0,1187150.0
2845,遠東銀          ,1313022.0,0.0,-10000.0,1303022.0
"=""00922""",國泰台灣領袖50  ,-426473.0,0.0,0.0,-426473.0
2633,台灣高鐵        ,1216268.0,0.0,-8000.0,1208268.0
"=""00671R""",富邦NASDAQ反1   ,0.0,0.0,0.0,0.0
2105,正新            ,1309742.0,0.0,-91000.0,1218742.0
"=""0050""",元大台灣50      ,1505504.0,0.0,200000.0,1705504.0
"=""00915""",凱基優選高股息30,38000.0,0.0,0.0,38000.0
3056,富華新          ,1094000.0,0.0,0.0,1094000.0
2332,友訊            ,997058.0,0.0,0.0,997058.0
"=""00655L""",國泰中國A50正2  ,-139000.0,0.0,0.0,-139000.0
1440,南紡            ,980570.0,0.0,0.0,980570.0
3036,文曄            ,1485179.0,0.0,-493000.0,992179.0
1802,台玻            ,789000.0,0.0,0.0,789000.0
2836,高雄銀          ,983002.0,0.0,0.0,983002.0
1102,亞泥            ,1032587.0,0.0,-11000.0,1021587.0
"=""00631L""",元大台灣50正2   ,2803915.0,0.0,0.0,2803915.0
3017,奇鋐            ,497311.0,0.0,-117068.0,380243.0
"=""009803""",保德信市值動能50,6000.0,0.0,0.0,6000.0
2201,裕隆            ,825577.0,0.0,0.0,825577.0
2646,星宇航空        ,768307.0,0.0,0.0,768307.0
"=""00935""",野村臺灣新科技50,461000.0,0.0,0.0,461000.0
2520,冠德            ,808191.0,0.0,0.0,808191.0
"=""00905""",FT臺灣Smart     ,180000.0,0.0,0.0,180000.0
2337,旺宏            ,934700.0,0.0,0.0,934700.0
2345,智邦            ,471592.0,0.0,390893.0,862485.0
"=""00907""",永豐優息存股    ,31000.0,0.0,0.0,31000.0
"=""00892""",富邦台灣半導體  ,286000.0,0.0,0.0,286000.0
5244,弘凱            ,726656.0,0.0,0.0,726656.0
2405,輔信            ,675294.0,0.0,0.0,675294.0
3044,健鼎            ,524206.0,0.0,191000.0,715206.0
"=""00923""",群益台ESG低碳50 ,13100.0,0.0,0.0,13100.0
1605,華新            ,702172.0,0.0,0.0,702172.0
2206,三陽工業        ,620072.0,0.0,62000.0,682072.0
6165,浪凡            ,724600.0,0.0,0.0,724600.0
2610,華航            ,2912191.0,0.0,-1857000.0,1055191.0
6282,康舒            ,630628.0,0.0,0.0,630628.0
"=""00686R""",群益臺灣加權反1 ,0.0,0.0,0.0,0.0
"=""00662""",富邦NASDAQ      ,-1708000.0,0.0,0.0,-1708000.0
"=""00952""",凱基台灣AI50    ,223000.0,0.0,0.0,223000.0
6116,彩晶            ,591017.0,0.0,0.0,591017.0
3019,亞光            ,207011.0,0.0,0.0,207011.0
2489,瑞軒            ,558055.0,0.0,0.0,558055.0
1303,南亞            ,677140.0,0.0,-25107.0,652033.0
2329,華泰            ,593947.0,0.0,0.0,593947.0
6191,精成科          ,724422.0,0.0,0.0,724422.0
2314,台揚            ,595000.0,0.0,0.0,595000.0
2820,華票            ,570002.0,0.0,0.0,570002.0
3029,零壹            ,527419.0,0.0,26000.0,553419.0
2543,皇昌            ,240610.0,0.0,0.0,240610.0
4968,立積            ,517913.0,0.0,0.0,517913.0
"=""00692""",富邦公司治理    ,-48850.0,0.0,0.0,-48850.0
1717,長興            ,520673.0,0.0,0.0,520673.0
1477,聚陽            ,753968.0,0.0,-155000.0,598968.0
2542,興富發          ,466034.0,0.0,0.0,466034.0
2449,京元電子        ,629828.0,0.0,-20000.0,609828.0
2481,強茂            ,479155.0,0.0,0.0,479155.0
"=""00932""",兆豐永續高息等權,14000.0,0.0,0.0,14000.0
1307,三芳            ,-189005.0,0.0,487068.0,298063.0
3703,欣陸            ,464047.0,0.0,0.0,464047.0
1504,東元            ,1622889.0,0.0,-1073000.0,549889.0
8210,勤誠            ,148982.0,0.0,312000.0,460982.0
2912,統一超          ,409440.0,0.0,16888.0,426328.0
2809,京城銀          ,-500544.0,0.0,-71943.0,-572487.0
3704,合勤控          ,442335.0,0.0,0.0,442335.0
2889,國票金          ,593440.0,0.0,-183000.0,410440.0
3062,建漢            ,426000.0,0.0,0.0,426000.0
3209,全科            ,430329.0,0.0,0.0,430329.0
3714,富采            ,408446.0,0.0,0.0,408446.0
6442,光聖            ,373730.0,0.0,8000.0,381730.0
2855,統一證          ,477130.0,0.0,-64318.0,412812.0
1808,潤隆            ,355008.0,0.0,0.0,355008.0
3059,華晶科          ,409002.0,0.0,0.0,409002.0
"=""00690""",兆豐藍籌30      ,-107000.0,0.0,0.0,-107000.0
2363,矽統            ,389965.0,0.0,0.0,389965.0
"=""00938""",凱基優選30      ,152000.0,0.0,0.0,152000.0
1904,正隆            ,404052.0,0.0,0.0,404052.0
"=""00954""",中信日本半導體  ,-257000.0,0.0,0.0,-257000.0
1616,億泰            ,397006.0,0.0,0.0,397006.0
2511,太子            ,339111.0,0.0,0.0,339111.0
3665,貿聯-KY         ,22350.0,0.0,293000.0,315350.0
3035,智原            ,155190.0,0.0,1000.0,156190.0
"=""00648R""",元大S&P500反1   ,-5000.0,0.0,0.0,-5000.0
6799,來頡            ,200290.0,0.0,153000.0,353290.0
2006,東和鋼鐵        ,395855.0,0.0,-32000.0,363855.0
2023,燁輝            ,330416.0,0.0,0.0,330416.0
2357,華碩            ,316376.0,0.0,6850.0,323226.0
2458,義隆            ,337268.0,0.0,-4000.0,333268.0
9911,櫻花            ,317019.0,0.0,0.0,317019.0
3033,威健            ,432495.0,0.0,-9530.0,422965.0
9919,康那香          ,331000.0,0.0,0.0,331000.0
2404,漢唐            ,161280.0,0.0,116000.0,277280.0
"=""00912""",中信臺灣智慧50  ,66000.0,0.0,0.0,66000.0
2453,凌群            ,326030.0,0.0,0.0,326030.0
2377,微星            ,607192.0,0.0,-277000.0,330192.0
3715,定穎投控        ,316734.0,0.0,0.0,316734.0
"=""00651R""",復華香港反1     ,0.0,0.0,0.0,0.0
6412,群電            ,151324.0,0.0,162737.0,314061.0
2103,台橡            ,298902.0,0.0,0.0,298902.0
2476,鉅祥            ,315014.0,0.0,0.0,315014.0
2352,佳世達          ,306067.0,0.0,-6000.0,300067.0
1909,榮成            ,267246.0,0.0,0.0,267246.0
3028,增你強          ,314998.0,0.0,0.0,314998.0
2731,雄獅            ,143012.0,0.0,58000.0,201012.0
6005,群益證          ,202757.0,0.0,88000.0,290757.0
2480,敦陽科          ,293443.0,0.0,0.0,293443.0
5388,中磊            ,267465.0,0.0,0.0,267465.0
8422,可寧衛          ,298201.0,0.0,-650.0,297551.0
"=""00943""",兆豐電子高息等權,59000.0,0.0,0.0,59000.0
2376,技嘉            ,295982.0,0.0,-11000.0,284982.0
"=""00971""",野村美國研發龍頭,-8000.0,0.0,0.0,-8000.0
2109,華豐            ,274106.0,0.0,0.0,274106.0
2607,榮運            ,249678.0,0.0,0.0,249678.0
1316,上曜            ,343986.0,0.0,0.0,343986.0
4949,有成精密        ,262726.0,0.0,0.0,262726.0
3645,達邁            ,275184.0,0.0,0.0,275184.0
1227,佳格            ,237192.0,0.0,0.0,237192.0
6269,台郡            ,247820.0,0.0,-4559.0,243261.0
"=""00921""",兆豐龍頭等權重  ,12000.0,0.0,0.0,12000.0
"=""00894""",中信小資高價30  ,30005.0,0.0,0.0,30005.0
1434,福懋            ,314140.0,0.0,0.0,314140.0
2915,潤泰全          ,585001.0,0.0,-318000.0,267001.0
1309,台達化          ,293999.0,0.0,0.0,293999.0
1905,華紙            ,198753.0,0.0,0.0,198753.0
2427,三商電          ,236618.0,0.0,0.0,236618.0
"=""00731""",復華富時高息低波,167000.0,0.0,0.0,167000.0
8926,台汽電          ,239738.0,0.0,0.0,239738.0
1476,儒鴻            ,335112.0,0.0,-84000.0,251112.0
4564,元翎            ,229837.0,0.0,0.0,229837.0
3027,盛達            ,218545.0,0.0,0.0,218545.0
2431,聯昌            ,213963.0,0.0,0.0,213963.0
1563,巧新            ,222705.0,0.0,0.0,222705.0
2402,毅嘉            ,230428.0,0.0,0.0,230428.0
"=""00685L""",群益臺灣加權正2 ,20000.0,0.0,0.0,20000.0
4763,材料-KY         ,230002.0,0.0,0.0,230002.0
"=""00896""",中信綠能及電動車,-97000.0,0.0,0.0,-97000.0
5608,四維航          ,214701.0,0.0,0.0,214701.0
2208,台船            ,247000.0,0.0,-83000.0,164000.0
3257,虹冠電          ,220695.0,0.0,0.0,220695.0
3596,智易            ,96164.0,0.0,7000.0,103164.0
2355,敬鵬            ,-384139.0,0.0,742787.0,358648.0
1446,宏和            ,214921.0,0.0,0.0,214921.0
2645,長榮航太        ,236758.0,0.0,-28000.0,208758.0
3576,聯合再生        ,200000.0,0.0,0.0,200000.0
6288,聯嘉            ,209767.0,0.0,0.0,209767.0
4540,全球傳動        ,203171.0,0.0,0.0,203171.0
6196,帆宣            ,211865.0,0.0,0.0,211865.0
1229,聯華            ,177132.0,0.0,0.0,177132.0
2454,聯發科          ,271587.0,0.0,-32288.0,239299.0
3189,景碩            ,237406.0,0.0,0.0,237406.0
2347,聯強            ,-143086.0,0.0,346000.0,202914.0
2379,瑞昱            ,432807.0,0.0,-191701.0,241106.0
"=""00961""",FT臺灣永續高息  ,9000.0,0.0,0.0,9000.0
1528,恩德            ,168117.0,0.0,0.0,168117.0
9917,中保科          ,191413.0,0.0,-1000.0,190413.0
9941,裕融            ,192075.0,0.0,0.0,192075.0
8016,矽創            ,197076.0,0.0,-1000.0,196076.0
6919,康霈*           ,182899.0,0.0,0.0,182899.0
1722,台肥            ,140620.0,0.0,-4000.0,136620.0
4142,國光生          ,165001.0,0.0,0.0,165001.0
6962,奕力-KY         ,290180.0,0.0,0.0,290180.0
2017,官田鋼          ,17268.0,0.0,0.0,17268.0
5534,長虹            ,157707.0,0.0,0.0,157707.0
2104,國際中橡        ,146997.0,0.0,0.0,146997.0
6189,豐藝            ,179858.0,0.0,0.0,179858.0
6515,穎崴            ,166084.0,0.0,0.0,166084.0
"=""00941""",中信上游半導體  ,-3472000.0,0.0,0.0,-3472000.0
2605,新興            ,181037.0,0.0,0.0,181037.0
2636,台驊控股        ,241000.0,0.0,0.0,241000.0
"=""00733""",富邦臺灣中小    ,167000.0,0.0,0.0,167000.0
1712,興農            ,181048.0,0.0,-19824.0,161224.0
1609,大亞            ,121830.0,0.0,0.0,121830.0
2504,國產            ,580399.0,0.0,-433000.0,147399.0
8150,南茂            ,159541.0,0.0,0.0,159541.0
6526,達發            ,160352.0,0.0,3000.0,163352.0
4906,正文            ,158036.0,0.0,0.0,158036.0
2536,宏普            ,172001.0,0.0,0.0,172001.0
5469,瀚宇博          ,182373.0,0.0,0.0,182373.0
8404,百和興業-KY     ,161114.0,0.0,0.0,161114.0
3040,遠見            ,150202.0,0.0,0.0,150202.0
2101,南港            ,141001.0,0.0,0.0,141001.0
3011,今皓            ,117994.0,0.0,0.0,117994.0
3406,玉晶光          ,152141.0,0.0,0.0,152141.0
