上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:114/05/09
"代號","名稱","收盤","漲跌","開盤","最高","最低","均價","成交股數","成交金額(元)","成交筆數","最後買價","最後買量(千股)","最後賣價","最後賣量(千股)","發行股數","次日參考價","次日漲停價","次日跌停價"
"006201","元大富櫃50","18.70","0.00 ","18.77","18.77","18.61","18.67","70,294","1,312,485","39","18.73","1","18.75","1","18,446,000","18.70","20.57","16.83"
"00679B","元大美債20年","26.11","-0.23 ","26.21","26.28","26.07","26.18","66,059,741","1,729,158,526","10,637","26.10","320","26.11","630","8,969,192,000","26.11","9999.95","0.01"
"00687B","國泰20年美債","27.08","-0.23 ","27.17","27.24","27.03","27.14","58,894,315","1,598,226,948","7,602","27.08","653","27.09","631","7,172,150,055","27.08","9999.95","0.01"
"00687C","國泰20年美債+櫃U","9.08","-0.08 ","9.12","9.12","9.07","9.08","51,500","467,635","7","9.08","11","9.09","63","213,687","9.08","9999.95","0.01"
"00694B","富邦美債1-3","39.38","-0.17 ","39.59","39.63","39.30","39.48","700,267","27,644,574","308","39.38","33","39.43","20","174,576,000","39.38","9999.95","0.01"
"00695B","富邦美債7-10","33.33","-0.27 ","33.55","33.55","33.30","33.39","520,131","17,367,081","70","33.32","40","33.33","4","40,686,000","33.33","9999.95","0.01"
"00696B","富邦美債20年","27.99","-0.26 ","28.14","28.17","27.90","28.02","9,510,911","266,466,678","601","27.99","76","28.01","109","919,681,000","27.99","9999.95","0.01"
"00697B","元大美債7-10","34.01","-0.19 ","34.20","34.20","33.95","34.04","747,892","25,458,226","458","34.01","4","34.04","6","59,712,000","34.01","9999.95","0.01"
"00718B","富邦中國政策債","19.73","-0.06 ","19.79","19.80","19.72","19.75","170,276","3,362,199","21","19.72","1","19.75","1","6,001,000","19.73","9999.95","0.01"
"00719B","元大美債1-3","29.62","-0.13 ","29.73","29.83","29.56","29.72","3,123,391","92,822,542","948","29.62","64","29.63","1","467,014,000","29.62","9999.95","0.01"
"00720B","元大投資級公司債","30.94","-0.21 ","31.07","31.16","30.88","31.02","9,907,226","307,283,014","2,620","30.94","218","30.95","35","4,110,109,000","30.94","9999.95","0.01"
"00722B","群益投資級電信債","34.25","-0.24 ","34.43","34.51","34.15","34.33","2,824,583","96,970,546","562","34.24","11","34.25","1","1,490,239,000","34.25","9999.95","0.01"
"00723B","群益投資級科技債","29.74","-0.17 ","29.84","29.88","29.69","29.82","405,102","12,080,210","39","29.70","1","29.72","4","1,505,083,000","29.74","9999.95","0.01"
"00724B","群益投資級金融債","31.35","-0.23 ","31.58","31.58","31.27","31.43","8,583,118","269,794,276","369","31.34","91","31.35","79","2,844,275,000","31.35","9999.95","0.01"
"00725B","國泰投資級公司債","32.89","-0.17 ","33.02","33.08","32.84","32.95","9,077,584","299,134,692","2,227","32.88","268","32.89","25","3,515,706,000","32.89","9999.95","0.01"
"00726B","國泰新興投等債","30.68","-0.16 ","30.83","30.85","30.68","30.77","253,923","7,812,205","59","30.68","1","30.70","2","1,169,489,000","30.68","9999.95","0.01"
"00727B","國泰優選非投等債","37.47","-0.08 ","37.65","37.65","37.47","37.54","174,268","6,542,036","30","37.35","13","37.39","1","88,689,000","37.47","9999.95","0.01"
"00734B","台新JPM新興債","14.36","0.00 ","14.39","14.39","14.36","14.37","501,004","7,199,586","13","14.28","1","14.35","5","28,979,000","14.36","9999.95","0.01"
"00740B","富邦全球投等債","36.08","-0.27 ","36.30","36.37","36.04","36.23","5,788,366","209,708,601","323","36.07","5","36.11","2","1,666,971,000","36.08","9999.95","0.01"
"00741B","富邦全球非投等債","35.92","+0.01","35.94","36.04","35.92","36.02","442,050","15,921,202","30","35.92","25","35.95","4","16,628,000","35.92","9999.95","0.01"
"00746B","富邦A級公司債","33.18","-0.30 ","33.43","33.47","33.18","33.32","1,606,618","53,538,041","163","33.25","78","33.26","16","2,431,464,000","33.18","9999.95","0.01"
"00749B","凱基新興債10+","28.53","-0.18 ","28.67","28.69","28.53","28.60","54,000","1,544,190","13","28.46","1","28.51","1","955,000,000","28.53","9999.95","0.01"
"00750B","凱基科技債10+","31.56","-0.27 ","31.74","31.74","31.56","31.66","10,000","316,620","4","31.50","1","31.57","1","147,500,000","31.56","9999.95","0.01"
