市場,證券代號,證券名稱,外資_買進,外資_賣出,外資_買賣超,投信_買進,投信_賣出,投信_買賣超,自營_買進,自營_賣出,自營_買賣超
TPEX,006201,元大富櫃50,0,0,0,0,0,0,16000,19178,-3178
TPEX,00679B,元大美債20年,16079020,5597500,10481520,1000000,0,1000000,9283368,9095647,187721
TPEX,00687B,國泰20年美債,12876000,4670000,8206000,1000000,0,1000000,15733015,11614180,4118835
TPEX,00687C,國泰20年美債+櫃U,0,0,0,0,0,0,50000,50000,0
TPEX,00694B,富邦美債1-3,59000,20000,39000,0,0,0,45685,26388,19297
TPEX,00695B,富邦美債7-10,0,18000,-18000,0,0,0,224000,102118,121882
TPEX,00696B,富邦美債20年,1454000,731000,723000,0,0,0,2681100,3152696,-471596
TPEX,00697B,元大美債7-10,2000,42000,-40000,0,0,0,28000,8000,20000
TPEX,00718B,富邦中國政策債,0,1000,-1000,0,0,0,100000,120000,-20000
TPEX,00719B,元大美債1-3,413000,600000,-187000,0,0,0,511388,266786,244602
TPEX,00720B,元大投資級公司債,7050001,2094160,4955841,0,0,0,1343548,2175548,-832000
TPEX,00722B,群益投資級電信債,1130000,473000,657000,0,0,0,896027,1241064,-345037
TPEX,00723B,群益投資級科技債,62000,40000,22000,0,0,0,100000,121000,-21000
TPEX,00724B,群益投資級金融債,1743000,1653000,90000,0,0,0,6431173,6435004,-3831
TPEX,00725B,國泰投資級公司債,6287000,1600000,4687000,0,0,0,3023000,5235943,-2212943
TPEX,00726B,國泰新興投等債,31000,7000,24000,0,0,0,206627,209562,-2935
TPEX,00727B,國泰優選非投等債,4000,7000,-3000,0,0,0,104210,104444,-234
TPEX,00734B,台新JPM新興債,1000,1000,0,0,0,0,498002,499002,-1000
TPEX,00740B,富邦全球投等債,3290000,816000,2474000,0,0,0,2705087,4727612,-2022525
TPEX,00741B,富邦全球非投等債,11000,1000,10000,0,0,0,411000,412017,-1017
TPEX,00746B,富邦A級公司債,554000,194000,360000,0,0,0,532008,797005,-264997
TPEX,00749B,凱基新興債10+,25000,2000,23000,0,0,0,100000,122000,-22000
